id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689161521325,NEUTRAL,-0.09,-0.55,0.82
1,1689161521354,NEUTRAL,-0.09,-0.55,0.82
2,1689161521383,NEUTRAL,-0.13,-0.55,0.82
3,1689161521411,NEUTRAL,-0.07,-0.57,0.82
4,1689161521434,NEUTRAL,-0.14,-0.52,0.76
5,1689161521461,NEUTRAL,-0.14,-0.52,0.76
6,1689161521487,NEUTRAL,-0.19,-0.5,0.74
7,1689161521513,NEUTRAL,-0.16,-0.5,0.78
8,1689161521543,NEUTRAL,-0.16,-0.5,0.78
9,1689161521568,NEUTRAL,-0.13,-0.52,0.79
10,1689161521598,NEUTRAL,-0.14,-0.52,0.78
11,1689161521626,NEUTRAL,-0.13,-0.56,0.78
12,1689161521656,NEUTRAL,-0.12,-0.53,0.8
13,1689161521679,NEUTRAL,-0.12,-0.53,0.8
14,1689161521703,NEUTRAL,-0.09,-0.54,0.8
15,1689161521730,NEUTRAL,-0.09,-0.54,0.8
16,1689161521760,NEUTRAL,-0.11,-0.52,0.81
17,1689161521789,NEUTRAL,-0.1,-0.55,0.78
18,1689161521818,NEUTRAL,-0.1,-0.57,0.78
19,1689161521847,NEUTRAL,-0.1,-0.57,0.78
20,1689161521876,NEUTRAL,-0.09,-0.55,0.76
21,1689161521904,NEUTRAL,-0.09,-0.54,0.8
22,1689161521928,NEUTRAL,-0.08,-0.57,0.75
23,1689161521952,NEUTRAL,-0.08,-0.57,0.75
24,1689161521975,NEUTRAL,-0.06,-0.52,0.79
25,1689161522004,NEUTRAL,-0.06,-0.54,0.81
26,1689161522028,NEUTRAL,-0.06,-0.54,0.81
27,1689161522057,NEUTRAL,-0.04,-0.53,0.83
28,1689161522080,NEUTRAL,-0.05,-0.56,0.82
29,1689161522103,NEUTRAL,-0.05,-0.56,0.82
30,1689161522129,NEUTRAL,-0.06,-0.52,0.82
31,1689161522154,NEUTRAL,-0.05,-0.55,0.8
32,1689161522177,NEUTRAL,-0.05,-0.55,0.8
33,1689161522202,NEUTRAL,-0.05,-0.55,0.79
34,1689161522225,NEUTRAL,-0.05,-0.55,0.79
35,1689161522252,NEUTRAL,-0.06,-0.54,0.79
36,1689161522281,NEUTRAL,-0.04,-0.54,0.78
37,1689161522302,NEUTRAL,-0.06,-0.53,0.8
38,1689161522328,NEUTRAL,-0.06,-0.53,0.8
39,1689161522353,NEUTRAL,-0.06,-0.54,0.8
40,1689161522381,NEUTRAL,-0.04,-0.54,0.82
41,1689161522405,NEUTRAL,-0.04,-0.54,0.82
42,1689161522434,NEUTRAL,-0.07,-0.54,0.81
43,1689161522462,NEUTRAL,-0.09,-0.55,0.75
44,1689161522487,NEUTRAL,-0.05,-0.54,0.82
45,1689161522515,NEUTRAL,-0.05,-0.54,0.82
46,1689161522544,NEUTRAL,-0.05,-0.56,0.78
47,1689161522572,NEUTRAL,-0.08,-0.56,0.74
48,1689161522602,NEUTRAL,-0.08,-0.56,0.74
49,1689161522631,NEUTRAL,-0.06,-0.56,0.77
50,1689161522661,NEUTRAL,-0.05,-0.56,0.78
51,1689161522689,NEUTRAL,-0.06,-0.55,0.78
52,1689161522717,NEUTRAL,-0.06,-0.56,0.8
53,1689161522747,NEUTRAL,-0.06,-0.56,0.8
54,1689161522776,NEUTRAL,-0.07,-0.55,0.79
55,1689161522799,NEUTRAL,-0.08,-0.53,0.8
56,1689161522827,NEUTRAL,-0.05,-0.54,0.82
57,1689161522847,NEUTRAL,-0.05,-0.54,0.82
58,1689161522875,NEUTRAL,-0.06,-0.56,0.8
59,1689161522897,NEUTRAL,-0.07,-0.53,0.8
60,1689161522917,NEUTRAL,-0.07,-0.53,0.8
61,1689161522947,NEUTRAL,-0.06,-0.55,0.79
62,1689161522973,NEUTRAL,-0.05,-0.54,0.78
63,1689161523002,NEUTRAL,-0.05,-0.54,0.78
64,1689161523024,NEUTRAL,-0.06,-0.56,0.79
65,1689161523047,NEUTRAL,-0.06,-0.56,0.79
66,1689161523076,NEUTRAL,-0.06,-0.55,0.8
67,1689161523102,NEUTRAL,-0.08,-0.55,0.76
68,1689161523131,NEUTRAL,-0.07,-0.53,0.81
69,1689161523159,NEUTRAL,-0.07,-0.53,0.81
70,1689161523183,NEUTRAL,-0.05,-0.53,0.82
71,1689161523211,NEUTRAL,-0.06,-0.55,0.79
72,1689161523240,NEUTRAL,-0.06,-0.55,0.78
73,1689161523262,NEUTRAL,-0.06,-0.55,0.78
74,1689161523287,NEUTRAL,-0.05,-0.57,0.79
75,1689161523316,NEUTRAL,-0.06,-0.56,0.78
76,1689161523340,NEUTRAL,-0.06,-0.56,0.78
77,1689161523367,NEUTRAL,-0.07,-0.54,0.78
78,1689161523397,NEUTRAL,-0.08,-0.55,0.78
79,1689161523421,NEUTRAL,-0.08,-0.55,0.78
80,1689161523449,NEUTRAL,-0.07,-0.54,0.8
81,1689161523478,NEUTRAL,-0.06,-0.53,0.79
82,1689161523502,NEUTRAL,-0.07,-0.55,0.78
83,1689161523523,NEUTRAL,-0.07,-0.55,0.78
84,1689161523549,NEUTRAL,-0.06,-0.54,0.79
85,1689161523576,NEUTRAL,-0.06,-0.54,0.8
86,1689161523602,NEUTRAL,-0.07,-0.56,0.78
87,1689161523622,NEUTRAL,-0.07,-0.56,0.78
88,1689161523652,NEUTRAL,-0.07,-0.55,0.78
89,1689161523681,NEUTRAL,-0.08,-0.54,0.79
