id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689087532971,THROW,-0.11,0.05,0.94
1,1689087532992,THROW,0.05,0.14,1.04
2,1689087533013,THROW,-0.06,0.01,1.0
3,1689087533034,THROW,-0.12,-0.08,1.0
4,1689087533055,THROW,-0.12,-0.08,1.0
5,1689087533076,THROW,0.0,0.07,1.08
6,1689087533097,THROW,-0.03,0.08,0.99
7,1689087533118,THROW,-0.03,0.08,0.99
8,1689087533139,THROW,-0.14,-0.02,0.84
9,1689087533160,THROW,-0.13,-0.1,0.89
10,1689087533181,THROW,-0.13,-0.1,0.89
11,1689087533201,THROW,0.07,-0.03,0.97
12,1689087533221,THROW,-0.1,0.31,1.15
13,1689087533241,THROW,-0.1,0.31,1.15
14,1689087533262,THROW,-0.22,-0.09,0.89
15,1689087533283,THROW,-0.16,0.04,0.99
16,1689087533304,THROW,-0.16,0.04,0.99
17,1689087533325,THROW,-0.32,0.45,0.76
18,1689087533345,THROW,-0.17,-0.17,1.1
19,1689087533365,THROW,-0.17,-0.17,1.1
20,1689087533386,THROW,-0.07,-0.03,1.03
21,1689087533407,THROW,-0.07,-0.03,1.03
22,1689087533427,THROW,-0.05,0.05,0.93
23,1689087533447,THROW,-0.0,0.14,0.99
24,1689087533467,THROW,-0.0,0.14,0.99
25,1689087533487,THROW,-0.0,0.15,1.23
26,1689087533507,THROW,-0.21,0.1,1.34
27,1689087533528,THROW,-0.28,0.07,1.56
28,1689087533548,THROW,-0.28,0.07,1.56
29,1689087533568,THROW,-0.34,0.13,1.92
30,1689087533588,THROW,-0.35,0.16,1.78
31,1689087533608,THROW,-0.13,0.25,1.84
32,1689087533629,THROW,-0.13,0.25,1.84
33,1689087533650,THROW,0.17,0.38,1.94
34,1689087533670,THROW,0.31,0.47,1.83
35,1689087533690,THROW,0.59,0.6,1.75
36,1689087533711,THROW,0.59,0.6,1.75
37,1689087533731,THROW,0.75,0.73,1.43
38,1689087533751,THROW,0.66,0.63,1.28
39,1689087533772,THROW,0.56,0.53,0.8
40,1689087533793,THROW,0.52,0.37,0.59
41,1689087533814,THROW,0.52,0.37,0.59
42,1689087533834,THROW,0.34,0.06,0.31
43,1689087533854,THROW,0.34,0.06,0.31
44,1689087533874,THROW,0.31,-0.11,0.01
45,1689087533894,THROW,0.02,-0.34,-0.23
46,1689087533915,THROW,0.02,-0.34,-0.23
47,1689087533935,THROW,-0.22,-0.62,-0.41
48,1689087533956,THROW,-0.22,-0.62,-0.41
49,1689087533976,THROW,-0.79,-1.26,-0.54
50,1689087533997,THROW,-1.94,-1.96,-0.59
51,1689087534017,THROW,-1.94,-1.96,-0.59
52,1689087534037,THROW,-2.9,-2.43,-0.6
53,1689087534057,THROW,-2.9,-2.43,-0.6
54,1689087534077,THROW,-3.62,-2.88,-0.87
55,1689087534098,THROW,-3.62,-2.88,-0.87
56,1689087534119,THROW,-3.46,-3.62,-0.94
57,1689087534139,THROW,-3.46,-3.62,-0.94
58,1689087534159,THROW,-2.02,-5.63,-0.16
59,1689087534179,THROW,2.33,-8.0,2.55
60,1689087534199,THROW,2.33,-8.0,2.55
61,1689087534220,THROW,1.62,-7.03,-2.57
62,1689087534240,THROW,1.62,-7.03,-2.57
63,1689087534261,THROW,8.0,-7.09,0.09
64,1689087534281,THROW,6.11,-2.39,1.98
65,1689087534301,THROW,6.11,-2.39,1.98
66,1689087534322,THROW,2.85,-0.55,-2.66
67,1689087534342,THROW,2.85,-0.55,-2.66
68,1689087534363,THROW,1.48,-0.95,-0.72
69,1689087534383,THROW,1.27,-0.3,-1.3
70,1689087534404,THROW,1.27,-0.3,-1.3
71,1689087534424,THROW,1.01,-0.44,0.16
72,1689087534445,THROW,0.79,-0.85,0.76
73,1689087534466,THROW,0.79,-0.85,0.76
74,1689087534486,THROW,0.81,-0.23,0.71
75,1689087534506,THROW,0.81,-0.23,0.71
76,1689087534527,THROW,0.4,-0.25,0.67
77,1689087534547,THROW,0.4,-0.25,0.67
78,1689087534568,THROW,0.08,-0.27,1.02
79,1689087534588,THROW,0.08,-0.27,1.02
80,1689087534608,THROW,0.07,0.07,1.12
81,1689087534629,THROW,0.07,0.07,1.12
82,1689087534649,THROW,0.03,-0.5,1.19
83,1689087534669,THROW,0.13,-0.47,1.25
84,1689087534690,THROW,0.13,-0.47,1.25
85,1689087534710,THROW,-0.23,-0.22,0.76
86,1689087534730,THROW,-0.23,-0.22,0.76
87,1689087534750,THROW,-0.13,-0.25,1.11
88,1689087534770,THROW,-0.13,-0.25,1.11
89,1689087534790,THROW,-0.22,-0.03,1.05
90,1689087534811,THROW,-0.22,-0.03,1.05
91,1689087534831,THROW,-0.31,-0.13,0.85
92,1689087534852,THROW,-0.13,0.06,1.24
93,1689087534872,THROW,-0.13,0.06,1.24
94,1689087534893,THROW,-0.38,-0.12,0.99
95,1689087534914,THROW,-0.38,-0.12,0.99
96,1689087534935,THROW,-0.17,0.13,1.19
97,1689087534955,THROW,-0.17,0.13,1.19
98,1689087534975,THROW,-0.08,0.06,1.15
99,1689087534995,THROW,-0.2,0.14,1.12
100,1689087535015,THROW,-0.2,0.14,1.12
101,1689087535036,THROW,-0.13,0.18,1.17
102,1689087535056,THROW,-0.13,0.18,1.17
103,1689087535077,THROW,-0.18,0.16,1.08
104,1689087535097,THROW,-0.33,-0.0,1.08
105,1689087535117,THROW,-0.33,-0.0,1.08
106,1689087535137,THROW,-0.13,0.11,1.03
107,1689087535158,THROW,-0.13,0.11,1.03
108,1689087535178,THROW,-0.21,0.06,0.94
109,1689087535198,THROW,-0.23,0.01,1.01
110,1689087535218,THROW,-0.23,0.01,1.01
111,1689087535238,THROW,-0.18,0.05,0.98
112,1689087535259,THROW,-0.18,0.05,0.98
113,1689087535279,THROW,-0.24,0.02,1.0
114,1689087535299,THROW,-0.27,0.01,0.95
115,1689087535319,THROW,-0.18,0.02,0.95
116,1689087535340,THROW,-0.18,0.02,0.95
117,1689087535360,THROW,-0.29,0.01,0.98
118,1689087535380,THROW,-0.24,0.07,0.96
119,1689087535401,THROW,-0.24,0.07,0.96
120,1689087535421,THROW,-0.23,0.14,0.94
121,1689087535441,THROW,-0.29,0.03,0.94
122,1689087535461,THROW,-0.24,0.06,0.95
123,1689087535481,THROW,-0.24,0.06,0.95
124,1689087535501,THROW,-0.2,0.12,1.0
125,1689087535521,THROW,-0.2,0.12,1.0
