id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689083521748,TILT_LEFT,0.11,-0.15,0.91
1,1689083521770,TILT_LEFT,0.11,-0.15,0.91
2,1689083521794,TILT_LEFT,0.07,-0.17,1.04
3,1689083521817,TILT_LEFT,0.09,-0.15,1.01
4,1689083521841,TILT_LEFT,0.09,-0.15,1.01
5,1689083521865,TILT_LEFT,0.03,-0.17,1.01
6,1689083521887,TILT_LEFT,0.03,-0.17,1.01
7,1689083521910,TILT_LEFT,-0.19,-0.07,0.89
8,1689083521934,TILT_LEFT,-0.14,0.03,0.93
9,1689083521957,TILT_LEFT,-0.14,0.03,0.93
10,1689083521980,TILT_LEFT,0.07,-0.19,0.7
11,1689083522003,TILT_LEFT,0.07,-0.19,0.7
12,1689083522026,TILT_LEFT,0.31,-0.18,0.6
13,1689083522050,TILT_LEFT,0.5,-0.12,0.22
14,1689083522073,TILT_LEFT,0.5,-0.12,0.22
15,1689083522096,TILT_LEFT,0.92,-0.05,0.02
16,1689083522120,TILT_LEFT,1.21,-0.08,0.05
17,1689083522142,TILT_LEFT,1.21,-0.08,0.05
18,1689083522163,TILT_LEFT,1.13,-0.09,-0.21
19,1689083522184,TILT_LEFT,1.13,-0.09,-0.21
20,1689083522205,TILT_LEFT,1.06,-0.06,-0.44
21,1689083522227,TILT_LEFT,1.06,-0.06,-0.44
22,1689083522250,TILT_LEFT,1.16,-0.1,-0.49
23,1689083522273,TILT_LEFT,1.16,-0.1,-0.49
24,1689083522297,TILT_LEFT,0.96,-0.11,-0.66
25,1689083522320,TILT_LEFT,1.02,-0.12,-0.57
26,1689083522345,TILT_LEFT,1.02,-0.12,-0.57
27,1689083522368,TILT_LEFT,1.05,-0.08,-0.38
28,1689083522389,TILT_LEFT,1.05,-0.08,-0.38
29,1689083522413,TILT_LEFT,1.06,-0.13,-0.3
30,1689083522436,TILT_LEFT,1.06,-0.13,-0.3
31,1689083522459,TILT_LEFT,1.18,-0.22,-0.21
32,1689083522482,TILT_LEFT,1.01,-0.07,-0.13
33,1689083522505,TILT_LEFT,1.01,-0.07,-0.13
34,1689083522529,TILT_LEFT,1.09,-0.21,0.18
35,1689083522552,TILT_LEFT,1.09,-0.19,0.36
36,1689083522573,TILT_LEFT,1.09,-0.19,0.36
37,1689083522595,TILT_LEFT,0.73,-0.14,0.39
38,1689083522618,TILT_LEFT,0.63,-0.22,0.47
39,1689083522642,TILT_LEFT,0.63,-0.22,0.47
40,1689083522665,TILT_LEFT,0.24,-0.1,0.46
41,1689083522687,TILT_LEFT,0.24,-0.1,0.46
42,1689083522711,TILT_LEFT,0.08,-0.05,0.74
43,1689083522731,TILT_LEFT,0.03,-0.01,0.93
44,1689083522752,TILT_LEFT,0.03,-0.01,0.93
45,1689083522777,TILT_LEFT,-0.15,0.03,0.92
46,1689083522799,TILT_LEFT,-0.15,0.03,0.92
47,1689083522823,TILT_LEFT,-0.12,0.01,0.97
48,1689083522845,TILT_LEFT,-0.12,0.01,0.97
49,1689083522870,TILT_LEFT,-0.05,0.03,0.99
50,1689083522892,TILT_LEFT,-0.13,0.02,0.92
51,1689083522917,TILT_LEFT,-0.13,0.02,0.92
52,1689083522941,TILT_LEFT,0.07,-0.07,0.88
53,1689083522961,TILT_LEFT,-0.04,-0.03,0.97
54,1689083522984,TILT_LEFT,-0.04,-0.03,0.97
55,1689083523004,TILT_LEFT,-0.2,-0.02,0.85
56,1689083523028,TILT_LEFT,-0.2,-0.02,0.85
57,1689083523053,TILT_LEFT,0.08,-0.1,0.97
58,1689083523074,TILT_LEFT,0.08,-0.1,0.97
59,1689083523099,TILT_LEFT,-0.03,-0.07,1.03
