id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689159719371,TILT_RIGHT,-0.49,-0.11,0.84
1,1689159719394,TILT_RIGHT,-0.49,-0.11,0.84
2,1689159719419,TILT_RIGHT,-0.49,-0.11,0.84
3,1689159719441,TILT_RIGHT,-0.49,-0.11,0.84
4,1689159719464,TILT_RIGHT,-0.49,-0.11,0.84
5,1689159719487,TILT_RIGHT,-0.49,-0.11,0.84
6,1689159719512,TILT_RIGHT,-0.49,-0.11,0.84
7,1689159719533,TILT_RIGHT,-0.49,-0.11,0.84
8,1689159719556,TILT_RIGHT,-0.49,-0.11,0.84
9,1689159719580,TILT_RIGHT,-0.56,0.05,0.66
10,1689159719603,TILT_RIGHT,-0.73,0.04,0.5
11,1689159719624,TILT_RIGHT,-0.87,-0.08,0.43
12,1689159719649,TILT_RIGHT,-0.87,-0.08,0.43
13,1689159719673,TILT_RIGHT,-0.9,-0.05,0.31
14,1689159719696,TILT_RIGHT,-0.9,-0.05,0.31
15,1689159719719,TILT_RIGHT,-0.95,-0.02,0.2
16,1689159719743,TILT_RIGHT,-0.95,-0.02,0.2
17,1689159719768,TILT_RIGHT,-1.04,-0.07,0.13
18,1689159719789,TILT_RIGHT,-1.02,-0.08,0.08
19,1689159719811,TILT_RIGHT,-0.97,-0.06,0.1
20,1689159719836,TILT_RIGHT,-0.97,-0.06,0.1
21,1689159719856,TILT_RIGHT,-0.96,-0.05,0.06
22,1689159719877,TILT_RIGHT,-1.04,-0.1,0.0
23,1689159719899,TILT_RIGHT,-1.04,-0.1,0.0
24,1689159719922,TILT_RIGHT,-1.0,-0.17,-0.06
25,1689159719946,TILT_RIGHT,-1.0,-0.17,-0.06
26,1689159719969,TILT_RIGHT,-1.06,-0.14,-0.11
27,1689159719990,TILT_RIGHT,-1.06,-0.14,-0.11
28,1689159720014,TILT_RIGHT,-1.06,-0.14,-0.13
29,1689159720034,TILT_RIGHT,-1.05,-0.14,-0.12
30,1689159720056,TILT_RIGHT,-1.05,-0.14,-0.12
31,1689159720079,TILT_RIGHT,-1.03,-0.1,-0.1
32,1689159720103,TILT_RIGHT,-1.03,-0.1,-0.1
33,1689159720125,TILT_RIGHT,-1.03,-0.1,-0.1
34,1689159720150,TILT_RIGHT,-1.04,-0.12,-0.1
35,1689159720172,TILT_RIGHT,-1.04,-0.12,-0.1
36,1689159720194,TILT_RIGHT,-1.04,-0.12,-0.1
37,1689159720218,TILT_RIGHT,-1.06,-0.13,-0.08
38,1689159720242,TILT_RIGHT,-1.02,-0.13,-0.03
39,1689159720266,TILT_RIGHT,-0.99,0.02,0.16
40,1689159720287,TILT_RIGHT,-0.99,0.02,0.16
41,1689159720309,TILT_RIGHT,-0.92,-0.0,0.31
42,1689159720331,TILT_RIGHT,-0.92,-0.0,0.31
43,1689159720352,TILT_RIGHT,-0.91,-0.04,0.23
44,1689159720374,TILT_RIGHT,-0.91,-0.04,0.23
45,1689159720399,TILT_RIGHT,-0.91,-0.04,0.23
46,1689159720423,TILT_RIGHT,-1.0,-0.07,0.32
47,1689159720445,TILT_RIGHT,-0.82,-0.04,0.53
48,1689159720468,TILT_RIGHT,-0.82,-0.04,0.53
49,1689159720491,TILT_RIGHT,-0.91,-0.07,0.43
50,1689159720514,TILT_RIGHT,-0.91,-0.07,0.43
51,1689159720535,TILT_RIGHT,-0.91,-0.07,0.43
52,1689159720555,TILT_RIGHT,-0.83,-0.05,0.52
53,1689159720580,TILT_RIGHT,-0.81,-0.07,0.6
54,1689159720602,TILT_RIGHT,-0.81,-0.07,0.6
55,1689159720625,TILT_RIGHT,-0.66,-0.03,0.69
56,1689159720648,TILT_RIGHT,-0.63,-0.03,0.7
57,1689159720671,TILT_RIGHT,-0.62,-0.07,0.79
58,1689159720695,TILT_RIGHT,-0.62,-0.07,0.79
59,1689159720718,TILT_RIGHT,-0.54,-0.06,0.84
60,1689159720741,TILT_RIGHT,-0.52,0.01,0.8
61,1689159720764,TILT_RIGHT,-0.52,0.01,0.8
62,1689159720785,TILT_RIGHT,-0.4,-0.02,0.84
63,1689159720805,TILT_RIGHT,-0.4,-0.02,0.84
64,1689159720828,TILT_RIGHT,-0.28,0.02,0.94
65,1689159720851,TILT_RIGHT,-0.28,0.02,0.94
66,1689159720875,TILT_RIGHT,-0.22,0.03,0.87
67,1689159720898,TILT_RIGHT,-0.22,0.03,0.87
68,1689159720921,TILT_RIGHT,-0.27,0.0,0.99
69,1689159720944,TILT_RIGHT,-0.07,0.11,0.96
70,1689159720965,TILT_RIGHT,-0.07,0.11,0.96
71,1689159720985,TILT_RIGHT,-0.16,0.03,0.95
72,1689159721008,TILT_RIGHT,-0.05,0.09,0.98
73,1689159721031,TILT_RIGHT,-0.05,0.09,0.98
74,1689159721052,TILT_RIGHT,-0.02,0.13,0.94
75,1689159721073,TILT_RIGHT,-0.02,0.13,0.94
76,1689159721095,TILT_RIGHT,-0.08,0.01,0.96
77,1689159721119,TILT_RIGHT,-0.02,0.01,0.95
78,1689159721142,TILT_RIGHT,-0.02,0.01,0.95
79,1689159721165,TILT_RIGHT,-0.01,0.04,0.94
80,1689159721190,TILT_RIGHT,0.08,-0.01,0.95
81,1689159721214,TILT_RIGHT,0.08,-0.01,0.95
82,1689159721236,TILT_RIGHT,-0.02,0.02,0.97
83,1689159721257,TILT_RIGHT,-0.02,0.02,0.97
84,1689159721279,TILT_RIGHT,0.08,-0.0,0.93
85,1689159721299,TILT_RIGHT,0.02,0.07,0.93
86,1689159721322,TILT_RIGHT,0.02,0.07,0.93
87,1689159721345,TILT_RIGHT,0.06,-0.06,1.0
88,1689159721368,TILT_RIGHT,0.06,-0.06,1.0
